Year,Total_Emiss(million ton),Temp_Anomaly(degree F)
1900,534,-0.438
1901,552,-0.636
1902,566,-0.762
1903,617,-1.014
1904,624,-1.158
1905,663,-0.798
1906,707,-0.762
1907,784,-0.87
1908,750,-1.104
1909,785,-1.176
1910,819,-1.14
1911,836,-1.122
1912,879,-0.87
1913,943,-0.942
1914,850,-0.69
1915,838,-0.564
1916,901,-0.87
1917,955,-0.96
1918,936,-0.726
1919,806,-0.798
1920,932,-0.78
1921,803,-0.744
1922,845,-0.834
1923,970,-0.816
1924,963,-0.834
1925,975,-0.762
1926,983,-0.6
1927,1062,-0.708
1928,1065,-0.78
1929,1145,-0.87
1930,1053,-0.636
1931,940,-0.582
1932,847,-0.726
1933,893,-0.798
1934,973,-0.708
1935,1027,-0.708
1936,1130,-0.636
1937,1209,-0.474
1938,1142,-0.6
1939,1192,-0.492
1940,1299,-0.15
1941,1334,0.084
1942,1342,-0.258
1943,1391,-0.294
1944,1383,0.012
1945,1160,-0.024
1946,1238,-0.492
1947,1392,-0.546
1948,1469,-0.618
1949,1419,-0.564
1950,1630,-0.564
1951,1767,-0.42
1952,1795,-0.312
1953,1841,-0.312
1954,1865,-0.6
1955,2042,-0.636
1956,2177,-0.564
1957,2270,-0.222
1958,2330,-0.204
1959,2454,-0.294
1960,2569,-0.312
1961,2580,-0.276
1962,2686,-0.294
1963,2833,-0.276
1964,2995,-0.546
1965,3130,-0.474
1966,3288,-0.384
1967,3393,-0.42
1968,3566,-0.384
1969,3780,-0.096
1970,4053,-0.294
1971,4208,-0.51
1972,4376,-0.186
1973,4614,-0.15
1974,4623,-0.42
1975,4596,-0.438
1976,4864,-0.366
1977,5016,-0.078
1978,5074,-0.186
1979,5357,0.048
1980,5301,0.066
1981,5138,-0.006
1982,5094,-0.006
1983,5075,0.138
1984,5258,-0.042
1985,5417,-0.114
1986,5583,-0.042
1987,5725,0.21
1988,5936,0.138
1989,6066,0.066
1990,6074,0.246
1991,6142,0.192
1992,6078,0.048
1993,6070,0.048
1994,6174,0.084
1995,6305,0.174
1996,6448,0.084
1997,6556,0.354
1998,6576,0.444
1999,6561,0.084
2000,6733,0.12
